department_code,original_department_code,stock_code,description,soh,sales_qty,sales_value,sales_cost,gross_profit,turnover_percent,gross_profit_percent
FNCS,FNCS07,LP9151297,TRUDA PRETZEL 40G DELICIOUSLY SALTE,19.0,1.0,5.21,3.12,2.09,0.009,40.115
FNGC,FNGC01,LP9151130,JENAM COSY HOT WATER BOTTLE ROYAL B,3.0,1.0,117.35,79.5,37.85,0.157,32.254
FNHC,FNHC03,LP9019414,MELTONIAN 50ML SHOE CREAM NAVY BLUE,1.0,1.0,26.91,19.87,7.04,0.029,26.161
FNIA,FNIA01,LP9074521,PCHOICE POCKET 3PLY 10 MENTHOL,4.0,2.0,38.18,20.22,17.96,0.075,47.04
FNIA,FNIA02,LP9086094,SATIN SOFT ROLLS 2PLY 18,26.0,1.0,119.96,89.6,30.36,0.126,25.308
FNLA,FNLA03,LP9154313,JENAM PETITE PLUSH BUNNY WHITE/PINK,1.0,1.0,102.57,69.5,33.07,0.137,32.241
FNUC,FNUC02,LP9127410,CAR CHARGER DUAL USB WHITE,3.0,1.0,129.57,67.83,61.74,0.257,47.65
FNUD,FNUD02,LP9127430,WIRELESS BLUETOOTH HEADSET,1.0,1.0,433.91,323.75,110.16,0.458,25.388
FNVB,FNVB02,LP9050976,DURACELL BATT LITH MES 2-LM2032,3.0,1.0,43.43,31.88,11.55,0.048,26.595
FPBC,FPBC03,LP9142713,JENAM CLASSIC BOX OF DELIGHTS COTTO,1.0,1.0,104.3,75.0,29.3,0.122,28.092
FPBS,FPBS01,LP9138547,SKINEFX GLYCERINE SOAP 150G EVENTON,0.0,1.0,21.73,13.04,8.69,0.036,39.991
FPBS,FPBS02,LP9023108,TETMOSOL SOAP 75GM,13.0,1.0,28.4,17.18,11.22,0.047,39.507
FPBS,FPBS02,LP9109479,GLYCERINE SOAP 100G TUMERIC / LEMON,0.0,2.0,57.38,37.9,19.48,0.081,33.949
FPDW,FPDW02,LP9102583,SHIELD TEENS RON 50ML FLOWER POWER,1.0,1.0,22.6,17.53,5.07,0.021,22.434
FPFT,FPFT05,LP9024814,KROKO MEDICATED FOOT OINT 15G,1.0,1.0,52.13,29.7,22.43,0.093,43.027
FPHC,FPHC01,LP9025429,WOW HAIR 4.37 ESPRESSO HAIR4.37,2.0,1.0,59.09,40.0,19.09,0.079,32.307
FPHS,FPHS05,LP9027342,P/TOUCH HSPRAY 350ML MEDIUM,0.0,1.0,93.87,69.77,24.1,0.1,25.674
FPIP,FPIP03,LP9075118,KOTEX OVERNIGHT PADS 8 ALL NIGHTER,3.0,1.0,27.99,18.25,9.74,0.04,34.798
FPIP,FPIP03,LP9087438,LIL-LETS PADS MATERNITY 10,3.0,3.0,140.85,106.71,34.14,0.142,24.239
FPOT,FPOT06,LP9028603,ALOCLAIR GEL 8ML,0.0,1.0,154.98,87.2,67.78,0.282,43.735
FPSB,FPSB04,LP9028708,E45 CREAM 500G JAR,2.32,1.0,250.39,189.92,60.47,0.251,24.15
FPSB,FPSB04,LP9071073,EPIZONE E OINT 100G,9.8,1.0,47.78,35.53,12.25,0.051,25.638
FPSB,FPSB04,LP9129883,EPY DERM G + 10%    GLYCERINE 100ML,0.0,1.0,40.83,30.99,9.84,0.041,24.1
FPSC,FPSC01,LP9100693,PORTIA M MARULA BLOTION 250ML,2.0,1.0,52.13,34.2,17.93,0.075,34.395
FPSC,FPSC02,LP9028700,CETAPHIL GENTLE SKIN CLEANSER 236ML,0.0,1.0,243.44,184.7,58.74,0.244,24.129
FPSC,FPSC02,LP9029259,REITZER AQUEOUS CRM 500ML,14.09,1.0,37.38,23.26,14.12,0.059,37.774
FPSL,FPSL01,LP9029516,ZAM-BUK OINT 7G,10.0,3.0,25.95,17.79,8.16,0.034,31.445
FPSL,FPSL04,LP9029519,LABELLO CARDED WATERMELON,1.0,1.0,38.7,29.36,9.34,0.039,24.134
FPSM,FPSM01,LP9048216,CLINICA TISSUE OIL 200ML,0.0,1.0,91.26,67.84,23.42,0.097,25.663
FPSM,FPSM01,LP9079463,EAD TISSUE OIL BODY BUTTER 250ML,1.0,1.0,47.78,37.53,10.25,0.043,21.452
FPSM,FPSM01,LP9100620,HYDRA OIL  60ML,0.0,1.0,65.21,45.62,19.59,0.081,30.041
FPSM,FPSM01,LP9152208,ALL IN ONE VITA E OIL 10ML,9.0,1.0,39.96,28.87,11.09,0.046,27.753
FPVM,FPVM01,LP9126502,GILLETTE BLDS MACH3 5,0.0,1.0,286.95,219.9,67.05,0.279,23.366
HNF1,HNF108,LP9100981,ALMANS PEANUT & RAISINS 150G,1.0,1.0,16.48,12.1,4.38,0.018,26.578
HNFI,HNFI09,LP9098085,ALMANS PRUNES 150G,7.0,2.0,72.96,55.0,17.96,0.075,24.616
HNFQ,HNFQ03,LP9031323,REPLACE 400G STRAWBERRY,5.0,1.0,143.43,93.71,49.72,0.207,34.665
HNFQ,HNFQ03,LP9068058,ENSURE 850G VANILLA,0.0,1.0,342.08,288.15,53.93,0.224,15.765
HNFR,HNFR01,LP9105117,ALOE WATER 500ML ORIGINAL,12.0,3.0,75.51,57.0,18.51,0.077,24.513
HNFY,HNFY01,LP9089110,OHMEGA ALMOND BUTTER 400G K,0.0,1.0,95.61,71.85,23.76,0.099,24.851
HSND,HSND01,LP9017217,ENERGADE 500ML NAARTJIE,12.0,4.0,62.44,39.15,23.29,0.097,37.3
HSND,HSND02,LP9105099,BIOGEN WATER ENHANCER 45ML PINEAPPL,0.0,1.0,43.47,32.6,10.87,0.045,25.006
HSND,HSND02,LP9105100,BIOGEN WATER ENHANCER 45ML LITCHI,1.0,1.0,43.47,32.6,10.87,0.045,25.006
HSND,HSND04,LP9088371,BIOPLUS ENERGY DRINK 440ML KINETIC,6.0,1.0,19.09,13.94,5.15,0.021,26.977
HSNF,HSNF02,LP9033018,USN CREATINE MONOHYDRA 100G+100G,1.0,2.0,410.34,307.5,102.84,0.427,25.062
HSNF,HSNF02,LP9123087,USN CREATINE 3 IN 1 200G GRAPE,0.0,1.0,171.26,122.0,49.26,0.205,28.763
HSNF,HSNF02,LP9139764,USN CREATINE 3 IN 1 200G ORANGE,2.0,1.0,171.26,122.0,49.26,0.205,28.763
HSNH,HSNH02,LP9110683,BIOGEN PRE-BLAST 140G CHERRY,0.0,1.0,169.56,127.17,42.39,0.176,25.0
HVLA,HVLA02,LP9031853,HEEL GRIPP-HEEL TABS 50,0.0,2.0,340.78,252.12,88.66,0.368,26.017
HVLB,HVLB01,LP9031772,BIOSTRATH ELIXIR 100ML,1.0,1.0,121.7,87.71,33.99,0.141,27.929
HVLB,HVLB01,LP9031778,BIOSTRATH TABS  60,0.0,1.0,167.82,130.02,37.8,0.157,22.524
HVLB,HVLB01,LP9036341,STAMINOGRO  30 GEOREN,0.0,1.0,196.51,123.42,73.09,0.304,37.194
HVLB,HVLB01,LP9036917,DS-24 CAPS 30,4.0,1.0,140.68,85.75,54.93,0.228,39.046
HVLB,HVLB06,LP9079621,BIOGEN VITAMIN B12 60,1.0,1.0,124.82,84.78,40.04,0.166,32.078
HVLB,HVLB06,LP9080176,B CO SHOT EXOTIC BERRY 25ML,58.0,7.0,151.9,102.27,49.63,0.206,32.673
HVLD,HVLD04,LP9037313,SCOTTS EMULSION 100ML ORANGE,3.0,1.0,75.61,55.03,20.58,0.086,27.219
HVLD,HVLD04,LP9126387,ZINPLEX MAGNESIUM JUNIOR SYR 200ML,1.985,1.0,73.87,42.54,31.33,0.13,42.412
HVLG,HVLG01,LP9033621,TANTALIZE GLUCOJEL 25G,4.0,1.0,9.52,5.88,3.64,0.015,38.235
HVLI,HVLI03,LP9036594,BIOPLUS BOOSTER  SACH REG 10ML,113.0,2.0,12.08,7.41,4.67,0.019,38.659
HVLK,HVLK01,LP9035230,LACTOVITA CAPS 30S,28.976,0.666,70.36,40.6,29.76,0.124,42.297
HVLK,HVLK02,LP9031738,A VOGEL MOLKOSAN 200ML,0.0,1.0,186.91,137.9,49.01,0.204,26.221
HVLK,HVLK02,LP9035605,IBEROGAST ORAL LIQUID 20ML,13.0,2.0,375.79,125.9,249.89,1.038,66.497
HVLK,HVLK02,LP9038950,STILLEN 60MG TABS 30,6.0,1.0,141.7,97.99,43.71,0.182,30.847
HVLK,HVLK02,LP9070926,A VOGEL MOLKOSAN 500ML,1.0,1.0,359.96,266.6,93.36,0.388,25.936
HVLK,HVLK02,LP9074064,BRUNEL ACTIVATED CHARCOAL CAPS 60,0.0,1.0,109.52,79.95,29.57,0.123,27.0
HVLL,HVLL01,LP9131315,FLU-BUST PROTECT EFF TABS 10,3.0,2.0,234.07,132.14,101.93,0.424,43.547
HVLL,HVLL01,LP9132761,LOCAL HEALTH IMMUNE COMPLEX 60,1.0,1.0,198.15,92.22,105.93,0.44,53.46
HVLL,HVLL01,LP9139893,FLU-BUST PROTECT EFF TABS 10 RBERRY,40.0,1.0,108.65,65.96,42.69,0.177,39.291
HVLL,HVLL02,LP9108661,LOCAL HEALTH VIT C 1000MG TABS 60,16.0,1.0,75.9,45.58,30.32,0.126,39.947
HVLL,HVLL06,LP9034224,STRESS NO MORE CAPS 10,9.0,1.0,46.04,30.33,15.71,0.065,34.123
HVLL,HVLL08,LP9151511,THE HERBALIST LIONS MANE CAPS 60,12.0,1.0,139.09,80.73,58.36,0.243,41.958
HVLL,HVLL09,LP9035243,PROBIFLORA 9 STRAIN INT CAPS 30,0.0,1.0,182.57,131.05,51.52,0.214,28.219
HVLL,HVLL09,LP9132762,LOCAL HEALTH L-REUTERI 10,19.2,1.0,110.69,37.5,73.19,0.304,66.122
HVLL,HVLL10,LP9108659,LOCAL HEALTH COLLAGEN CAPS 60,12.0,1.0,137.73,71.68,66.05,0.274,47.956
HVLL,HVLL13,LP9035744,SILVER LAB COLLOIDAL SIL LIQUID 500,0.0,1.0,139.96,98.5,41.46,0.172,29.623
HVLL,HVLL13,LP9137991,TIBB BONNYCARE SYR 200ML,1.0,1.0,115.61,76.91,38.7,0.161,33.475
HVLL,HVLL15,LP9108663,LOCAL HEALTH B12 + FOLIC ACID TABS,2.0,1.0,63.25,41.07,22.18,0.092,35.067
HVLL,HVLL16,LP9036287,VENAVINE INTENSIVE LEG CREAM 125ML,0.0,1.0,154.64,116.5,38.14,0.158,24.664
HVLO,HVLO01,LP9031700,A VOGEL BOLDOCYNARA 50ML,1.0,1.0,187.78,134.05,53.73,0.223,28.613
HVLO,HVLO01,LP9031725,A VOGEL MENOFORCE TABS 30,2.0,1.0,333.87,230.3,103.57,0.43,31.021
HVLO,HVLO01,LP9031741,A VOGEL NEUROFORCE FORM 30ML,0.0,1.0,152.13,108.9,43.23,0.18,28.416
HVLP,HVLP01,LP9031715,A VOGEL ECHINAFORCE TABS  60,2.0,1.0,143.43,106.05,37.38,0.155,26.061
HVLP,HVLP02,LP9110176,VIRALMED VITA G GINGER SHOT 25ML,62.0,7.0,139.52,86.86,52.66,0.219,37.744
HVLP,HVLP03,LP9034230,AIRMUNE EFF 10,1.0,1.0,99.96,85.01,14.95,0.062,14.956
HVLP,HVLP03,LP9034366,LINCTAGON C JNR EFF ORANGE 12,4.0,1.0,108.65,80.42,28.23,0.117,25.983
HVLP,HVLP03,LP9070408,LINCTAGON C EFF 12 CHERRY,8.0,1.0,108.65,78.96,29.69,0.123,27.326
HVLP,HVLP03,LP9139838,LINCTAGON C PLUS EFF 12,109.0,9.0,1548.84,1006.38,542.46,2.254,35.024
HVLP,HVLP04,LP9034373,LINCTAGON THROAT LOLLIES 12,9.164,0.333,25.18,14.89,10.29,0.043,40.866
HVLP,HVLP04,LP9089611,HIMALAYA KOFLET LOZENGES 20 MENTHOL,16.0,1.0,36.48,22.59,13.89,0.058,38.076
HVLP,HVLP04,LP9133203,VIRALMED VITA G LOZ 16,1.0,1.0,70.39,50.7,19.69,0.082,27.973
HVLP,HVLP07,LP9037612,PROCYDIN CAPS 60,56.0,1.0,179.38,107.09,72.29,0.3,40.3
HVLQ,HVLQ01,LP9035023,THRESHOLD OPTI MSM TABS 60,1.0,2.0,347.74,255.8,91.94,0.382,26.439
HVLQ,HVLQ02,LP9038910,LIFETONES ACID CLEAR 100ML,4.0,1.0,139.12,97.06,42.06,0.175,30.233
HVLR,HVLR01,LP9027956,BANG BANG STRONGMAN 1,15.0,2.0,83.4,59.14,24.26,0.101,29.089
HVLR,HVLR02,LP9152177,RED MOCHA COFFEE FOR HER 20G,5.0,1.0,43.43,29.0,14.43,0.06,33.226
HVLS,HVLS01,LP9074765,LIVERALE MILK THISTLE CAPS 60,0.0,1.0,132.12,74.97,57.15,0.237,43.256
HVLS,HVLS02,LP9036814,ESSENTIALE EXTREME  50,1.6,1.0,174.47,104.54,69.93,0.291,40.081
HVLT,HVLT05,LP9116498,TURBOVITE SACH BLAST A/FREE 10ML,52.0,2.0,12.08,7.94,4.14,0.017,34.272
HVLW,HVLW01,LP9031889,A VOGEL MULTIFORCE 105G,3.0,1.0,138.22,100.04,38.18,0.159,27.623
HVLW,HVLW01,LP9139737,A VOGEL MULTIFORCE SACH 1,51.0,1.0,10.39,6.88,3.51,0.015,33.782
HVLW,HVLW03,LP9037664,PLUSSSZ ELECTRO-SPORT REHYDRATE  EF,6.0,1.0,98.22,48.71,49.51,0.206,50.407
HVLW,HVLW08,LP9037367,B-CAL DM   SWALLOW  30,3.0,1.0,145.1,92.76,52.34,0.217,36.072
HVLW,HVLW08,LP9056603,CALTRATE PLUS SOLID TABS 60 500UI +,0.0,1.0,281.66,229.56,52.1,0.217,18.497
HVLW,HVLW08,LP9070281,ZINPLEX CALCIUM CHEW TABS 30,0.0,1.0,37.35,25.79,11.56,0.048,30.95
HVLW,HVLW08,LP9108669,LOCAL HEALTH CALCIUM PLUS TABS 60,4.0,1.0,119.99,68.36,51.63,0.215,43.029
HVLW,HVLW09,LP9097725,VITATECH MAGNESIUM COMPLEX CAPS 30,2.0,1.0,69.69,48.07,21.62,0.09,31.023
HVLW,HVLW10,LP9097825,VITATECH ZINC COMPLEX TABS 30,2.0,1.0,60.22,40.43,19.79,0.082,32.863
HVLY,HVLY04,LP9072645,STELLAR MAMA 30 DAY KIT 3X30,0.0,1.0,387.44,240.5,146.94,0.611,37.926
HVZZ,HVZZ09,LP9032502,UVUKAHLALE SPIRULINA CAPS 60,0.0,1.0,104.3,75.14,29.16,0.121,27.958
KSAA,KSAA01,LP9044468,CLINIC BLOOD PRESSURE WITH DISCUSSI,0.0,1.0,34.78,0.0,34.78,0.145,100.0
KSAA,KSAA01,LP9044469,CLINIC BLOOD PRESSURE (REPEAT/PENS),0.0,1.0,25.22,0.0,25.22,0.105,100.0
KSAA,KSAA01,LP9044473,CLINIC FAMILY PLANNING CONSTULTATIO,0.0,5.0,347.85,0.0,347.85,1.445,100.0
KSAA,KSAA01,LP9044477,CLINIC CONSULT/SERVICE FEE,0.0,12.0,1460.88,0.0,1460.88,6.071,100.0
MADA,MADA02,LP9124385,HEALTH FIRST PREGNANCY MIDSTREAM TE,0.0,3.0,52.05,31.5,20.55,0.085,39.481
MADD,MADD03,LP9149946,MX MENOPAUSE DETECTION TEST 1,11.0,1.0,95.61,67.77,27.84,0.116,29.118
MADS,MADS01,LP9014065,CONTOUR PLUS STRIPS 50,0.0,2.0,315.5,206.34,109.16,0.454,34.599
MADS,MADS01,LP9014081,GLUCOCHECK STRIPS 50,9.0,3.0,512.96,361.32,151.64,0.63,29.562
MADS,MADS01,LP9039898,NOVOFINE 0.3X8MM 30G 100,0.91,0.21,60.47,44.18,16.29,0.068,26.939
MADS,MADS01,LP9078602,GLUCOCHECK EVOLVE METER KIT,4.0,1.0,156.57,17.39,139.18,0.578,88.893
MAHC,MAHC01,LP9147546,FLU-BUST COUGH RELIEF SYR 200ML,42.0,3.0,364.94,244.14,120.8,0.502,33.101
MAHC,MAHC03,LP9034336,VITAFORCE TONZOLYT TABS 100,1.0,2.0,217.31,168.4,48.91,0.203,22.507
MAHC,MAHC03,LP9038107,STREPSILS 24 EUCALYPTUS MENTH,3.0,1.0,95.37,56.46,38.91,0.162,40.799
MAHC,MAHC03,LP9137742,ANDOLEX LOZ SOOTHING 24 BCURRENT,1.0,1.0,86.91,61.78,25.13,0.104,28.915
MAHC,MAHC04,LP9038552,VIRALMED EXPECTAMED COUGH MIX 200ML,11.0,7.0,877.36,586.25,291.11,1.21,33.18
MAHC,MAHC04,LP9038553,EXPIGEN COUGH SYRUP 200ML,54.75,3.0,361.93,242.4,119.53,0.497,33.026
MAHC,MAHC04,LP9089267,BENYLIN  WET COUGH MENTHOL 200ML,0.0,1.0,119.09,84.78,34.31,0.143,28.81
MAHC,MAHC04,LP9089302,VIRALMED EXPECTAMED COUGH SYR 100ML,20.0,5.0,528.75,340.2,188.55,0.784,35.66
MAHC,MAHC04,LP9112417,VICKS ACTA PLUS WET AND DRY 100ML,0.0,2.0,151.22,108.1,43.12,0.179,28.515
MAHC,MAHC04,LP9122997,EXPECTAMED NAC-Q 600 EFF 10,5.0,1.0,101.7,72.08,29.62,0.123,29.125
MAHC,MAHC04,LP9141057,BENYLIN FOUR COUGH SYR 100ML,0.0,1.0,105.17,74.61,30.56,0.127,29.058
MAHC,MAHC05,LP9034452,TIBB FLU-RELIEF SYR 100ML,0.0,1.0,85.17,53.25,31.92,0.133,37.478
MAHC,MAHC05,LP9106260,SINUPRET PLUS TABS 40,0.0,2.0,742.52,549.0,193.52,0.804,26.063
MAHC,MAHC06,LP9034425,PROSPAN EFF TABS 10,1.0,1.0,99.96,68.12,31.84,0.132,31.853
MAHC,MAHC06,LP9037339,WOODS PEPPERMINT CURE  50ML PED,2.0,1.0,38.22,26.95,11.27,0.047,29.487
MAHC,MAHC06,LP9097754,PHOLTEX BRONCHOSTOP KIDS 120ML,3.0,1.0,109.52,75.87,33.65,0.14,30.725
MAHC,MAHC09,LP9038433,RUB RUB OINTMENT,25.0,1.0,37.35,14.82,22.53,0.094,60.321
MAHC,MAHC09,LP9038782,PUMA BALM JAR 50G,2.0,1.0,61.7,43.2,18.5,0.077,29.984
MAHC,MAHC09,LP9038788,VICKS VAPORUB 12G/10G,12.0,5.0,69.35,49.72,19.63,0.082,28.306
MAHC,MAHC09,LP9038789,VICKS VAPORUB JAR  50G,4.0,1.0,67.78,48.4,19.38,0.081,28.593
MAHE,MAHE01,LP9039254,B&L RENU MULTIPLUS 240ML,1.0,1.0,107.78,79.33,28.45,0.118,26.396
MAHI,MAHI01,LP9038838,CITRO SODA GRANULES 120G,15.0,1.0,120.97,60.53,60.44,0.251,49.963
MAHI,MAHI01,LP9038839,CITRO SODA GRANULES 60G,11.0,1.0,70.39,49.47,20.92,0.087,29.72
MAHI,MAHI01,LP9038841,CITRO SODA SACHETS 30X4G,6.0,1.0,139.96,99.73,40.23,0.167,28.744
MAHI,MAHI01,LP9038849,DE WITTS PILLS  16,1.0,1.0,39.96,28.9,11.06,0.046,27.678
MAHI,MAHI01,LP9038857,ENO FRUIT SALT 100G ORANGE,1.0,1.0,77.35,55.65,21.7,0.09,28.054
MAHI,MAHI01,LP9038861,ENO FRUIT SALT  10 T/PACK ORANGE,1.0,1.0,67.78,48.69,19.09,0.079,28.165
MAHI,MAHI01,LP9038869,ENO FRUIT SALTS SINGLE REGULAR,46.0,1.0,5.17,3.86,1.31,0.005,25.338
MAHI,MAHI01,LP9038923,MAYOGEL SUSP 200ML,145.0,5.0,243.25,141.4,101.85,0.423,41.871
MAHI,MAHI01,LP9098435,MAGASIL SUSP 200ML,3.0,1.0,27.78,19.23,8.55,0.036,30.778
MAHI,MAHI05,LP9047034,REHIDRAT SINGLE BLACK CURRANT,1.0,3.0,59.88,44.73,15.15,0.063,25.301
MAHI,MAHI05,LP9117975,HYDROMAX SACH 6X14G P/WELL,0.16,1.0,86.91,61.95,24.96,0.104,28.719
MAHI,MAHI05,LP9123756,DIAROCARE SACH 6 VANILLA,10.5,0.5,41.72,26.16,15.56,0.065,37.296
MAHI,MAHI05,LP9123819,DIAROCARE SACH 6 CARRIBEAN TWIST,9.003,1.0,83.43,51.06,32.37,0.135,38.799
MAHI,MAHI06,LP9038994,ACULAX SYRUP 150ML,1.0,1.0,64.46,39.68,24.78,0.103,38.442
